Source Table,LGA,Year-Quarter,PTB Total Actual and Forecast,PTB Total Actual and Forecast  Lower  95%,PTB Total Actual and Forecast  Upper  95%,EPTB Total Actual and Forecast,EPTB Total Actual and Forecast  Lower  95%,EPTB Total Actual and Forecast  Upper  95%,lab diagnosed Actual and Forecast,lab diagnosed Actual and Forecast  Lower  95%,lab diagnosed Actual and Forecast  Upper  95%,clinically diagnosed Actual and Forecast,clinically diagnosed Actual and Forecast  Lower  95%,clinically diagnosed Actual and Forecast  Upper  95%,Total TB Cases notified Actual and Forecast,Total TB Cases notified Actual and Forecast  Lower  95%,Total TB Cases notified Actual and Forecast  Upper  95%
Forecasts,Ikara,2024Q3,338.82401696,312.64596657,361.65875982,-0.050562226,-1.43578857,1.3346641183,2220.2550675,408.01430717,3032.4216114,45.216899347,17.349829667,73.083969026,377.2321849,201.84080889,573.53961025
Forecasts,Ikara,2024Q4,403.35503139,353.14833335,449.60195361,-0.058083311,-1.80076548,1.6845988572,1887.1781733,189.66732966,2553.1258087,51.952770147,18.244114685,85.661425608,495.00098239,255.46256449,778.74409309
Forecasts,Jaba,2024Q1,197.61071474,187.87877609,207.3426534,0,0,0,181.16085768,161.55179659,200.86825345,14.819180264,9.9992716688,19.63908886,197.61071474,187.87877609,207.3426534
Forecasts,Jaba,2024Q2,199.41202089,189.3772029,209.44683888,0,0,0,211.02671486,184.70019779,237.59706162,15.547621521,8.1243754526,22.970867589,199.41202089,189.3772029,209.44683888
Forecasts,Jaba,2024Q3,221.01381212,191.13031408,250.89731016,0,0,0,241.22687364,204.70021112,277.4016046,16.276062777,7.6764242823,24.875701273,221.01381212,191.13031408,250.89731016
Forecasts,Jaba,2024Q4,235.92649444,176.47950421,295.37348467,0,0,0,271.23139376,224.24314648,318.45654968,17.004504034,7.8841834535,26.124824614,235.92649444,176.47950421,295.37348467
Forecasts,Jemaa,2024Q1,,,,,,,,,,,,,,,
Forecasts,Jemaa,2024Q2,,,,,,,,,,,,,,,
Forecasts,Jemaa,2024Q3,,,,,,,,,,,,,,,
Forecasts,Jemaa,2024Q4,,,,,,,,,,,,,,,
Forecasts,Jema'A,2024Q1,272.80009308,272.80009308,272.80009308,-0.025636485,-0.065185885,0.0139129146,511.80397176,511.80397176,511.80397176,47.163184799,47.163184799,47.163184799,273.10469158,273.10469158,273.10469158
Forecasts,Jema'A,2024Q2,231.28986223,231.28986223,231.28986223,-0.025636485,-1.926927268,1.8756542983,905.79975114,905.79975114,905.79975114,45.18489392,45.18489392,45.18489392,226.05694613,226.05694613,226.05694613
Forecasts,Jema'A,2024Q3,196.0959755,196.0959755,196.0959755,-0.025636485,-2.71417682,2.6629038495,1603.1004729,1603.1004729,1603.1004729,43.289583756,43.289583756,43.289583756,187.11411583,187.11411583,187.11411583
Forecasts,Jema'A,2024Q4,166.25731555,166.25731555,166.25731555,-0.025636485,-3.318293713,3.2670207426,2837.1956638,2837.1956638,2837.1956638,41.473773627,41.473773627,41.473773627,154.87996694,154.87996694,154.87996694
Forecasts,Kachia,2024Q1,520.08099885,421.27227323,618.88972446,,0,0,510.10424193,400.24328719,619.96519667,15.954496228,7.879332236,24.029660221,520.1004765,420.94554285,619.25541016
Forecasts,Kachia,2024Q2,520.08099885,381.01684432,659.14515337,,0,0,545.81519116,385.96037375,705.67000856,0.4855060181,-21.10190157,22.072913605,520.1004765,380.72695345,659.47399955
Forecasts,Kachia,2024Q3,520.08099885,350.03831629,690.1236814,,0,0,556.28670774,341.48348,771.08993549,16.647222599,-12.79465335,46.089098543,520.1004765,349.75301692,690.44793608
Forecasts,Kachia,2024Q4,520.08099885,323.89183323,716.27016447,,0,0,603.85370212,298.91183669,908.79556755,10.609083019,-24.99473633,46.212902364,520.1004765,323.60229573,716.59865727
Forecasts,Kaduna North,2024Q1,1118.0660879,1085.045582,1151.0865938,5.6758015061,0,12.652577316,1110.8832297,1008.929682,1212.8367774,157.76676209,90.783507143,224.75001703,1403.7975251,1318.5302413,1489.4924036
Forecasts,Kaduna North,2024Q2,1237.4444136,1194.4948732,1280.393954,5.6758015061,0,12.849140241,1187.0906776,1041.3974081,1332.7839471,152.37249961,18.721941529,286.0230577,1458.4987506,1348.8518576,1563.6811218
Forecasts,Kaduna North,2024Q3,1462.2716771,1376.9753385,1547.5680157,5.6758015061,0,13.043504172,1263.2576145,1096.781757,1429.7334721,146.97823714,0,325.35264908,1798.6503001,1664.0480031,1930.2231908
Forecasts,Kaduna North,2024Q4,1477.6794089,1330.5160475,1624.8427703,5.6758015061,0,13.235886582,1339.384062,1163.4113583,1515.3567657,141.58397466,0,357.08401624,1712.6692829,1552.0754378,1879.3939252
Forecasts,Kaduna South,2024Q1,980.44440447,944.4825465,1016.5866024,4.0240000072,1.6184816828,6.4295183316,670.08155215,471.61375855,869.5446135,93.409587193,75.175172415,111.64400197,1011.8369564,900.64659454,1123.5849108
Forecasts,Kaduna South,2024Q2,1091.6634945,1028.8001654,1146.7074108,4.0697118036,0.932305866,7.2071177413,639.52961059,431.00968498,815.81153327,106.14455581,70.570290549,141.71882107,1110.1167025,933.25411075,1228.2274316
Forecasts,Kaduna South,2024Q3,1213.150562,1151.3204242,1268.0775094,4.1154236001,0.356029335,7.8748178652,667.48074995,363.1351192,879.87470575,108.57452193,64.834058465,152.31498539,1235.2395214,915.00550251,1405.9937709
Forecasts,Kaduna South,2024Q4,1345.5995625,1263.7783006,1417.9283458,4.1611353965,0,8.4813406712,807.02925561,363.86420041,1267.1025893,107.49368823,61.146465664,153.8409108,1343.806817,754.08247681,1806.6004155
Forecasts,Kagarko,2024Q1,313.85999898,242.75028326,384.96971471,-1.062939702,-2.230467521,0.1045881173,313.86929368,242.89885096,384.8397364,-0.18268832,-1.750712954,1.385336314,292.44417653,261.23317237,323.6551807
Forecasts,Kagarko,2024Q2,313.85999898,203.7392624,423.98073557,2.4662712849,0.6040444316,4.3284981382,313.86929368,204.06760251,423.67098486,-0.436465763,-2.011695206,1.1387636797,312.26195688,224.68862621,399.83528754
Forecasts,Kagarko,2024Q3,313.85999898,175.30834226,452.41165571,-0.026616458,-2.387263932,2.3340310165,313.86929368,175.75333142,451.98525594,-0.690243206,-2.478795559,1.0983091465,336.45999483,198.38070649,474.53928317
Forecasts,Kagarko,2024Q4,313.85999898,151.79042584,475.92957212,-0.058924916,-2.829741428,2.7118915954,313.86929368,152.32788513,475.41070223,-0.944020649,-3.306634209,1.4185929106,329.4046998,146.64753204,512.16186756
Forecasts,Kajuru,2024Q1,366.85500014,357.87583474,375.87919388,0,0,0,344.78982409,207.96046675,481.61918144,11.843102848,3.5124799132,20.173725783,366.85500014,357.87583474,375.87919388
Forecasts,Kajuru,2024Q2,363.81717099,351.17136241,376.29710335,0,0,0,318.76669226,187.53583155,449.99755297,11.843102848,1.5530725728,22.133133123,363.81717099,351.17136241,376.29710335
Forecasts,Kajuru,2024Q3,472.29584188,449.41857709,494.71290132,0,0,0,294.08378159,0,659.67347581,11.843102848,-0.08879422,23.774999916,472.29584188,449.41857709,494.71290132
Forecasts,Kajuru,2024Q4,463.76817398,427.34811543,500.2563219,0,0,0,270.67206916,0,993.92398749,11.843102848,-1.530588199,25.216793895,463.76817398,427.34811543,500.2563219
Forecasts,Kaura,2024Q1,109.48248931,94.68829094,124.27668768,-0.116275608,-0.607427397,0.3748761807,70.8683304,45.757088572,95.979572227,26.153238091,15.525187479,36.834585794,77.405019677,63.838852763,90.97118659
Forecasts,Kaura,2024Q2,115.12422694,97.248494233,132.99995965,0.2618409273,-0.35447458,0.8781564347,71.17395802,37.644697753,104.70321829,26.126538123,13.63556599,38.772371384,69.495504574,20.325698934,118.66531021
Forecasts,Kaura,2024Q3,120.76596457,95.293939176,146.23798996,0.1086943566,-0.611346982,0.8287356954,71.181999513,25.567141897,116.79685713,26.113267443,11.633890176,41.289794445,44.286999295,-52.18600291,140.7600015
Forecasts,Kaura,2024Q4,126.4077022,89.824359787,162.9910446,0.1682740754,-0.642327093,0.9788752439,71.182211096,15.942314106,126.42210809,26.106668984,9.1100761165,43.218084795,29.558599667,-123.4348077,182.552007
Forecasts,Kauru,2024Q1,682.00176146,598.5065435,765.91568766,,0,0,528.09602504,224.71309235,833.00034941,189.12451572,143.36396855,234.88506289,671.23116369,592.84493868,750.01047658
Forecasts,Kauru,2024Q2,587.27028415,470.34826139,706.70759782,,0,0,551.6563612,177.18765566,945.79589906,88.82590872,-33.57204024,211.22385768,562.9925477,428.01412424,701.67557318
Forecasts,Kauru,2024Q3,684.19978084,503.31982414,871.87962792,,0,0,602.1790801,128.92320516,1148.4333699,192.81225266,25.873676696,359.75082862,661.52110018,445.11289108,891.77243814
Forecasts,Kauru,2024Q4,682.31874837,465.52784285,903.83018975,,0,0,582.39254718,5.0675451005,1366.0204613,224.3623126,22.481856939,426.24276825,671.58829566,402.37084784,951.07705486
Forecasts,Kubau,2024Q1,217.02650308,205.01879236,229.09442955,0.0491286645,-0.524770535,0.6259058291,195.73410911,187.25351978,204.25722654,22.881163775,21.934815211,23.832258046,215.41437269,199.38285667,231.52628287
Forecasts,Kubau,2024Q2,254.94336494,238.6184862,270.53263113,0.0074526497,-0.558008093,0.6085035765,286.22439306,258.08269061,315.01307263,27.862100377,26.16405749,29.582460803,250.79579058,232.74001281,267.98663573
Forecasts,Kubau,2024Q3,299.48470996,278.62033016,320.07042531,0.0366443651,-9.341801503,10.787931047,313.22365708,274.91846655,351.41549089,32.965924615,30.219936869,35.692049824,291.81585148,271.20771702,311.37398444
Forecasts,Kubau,2024Q4,351.80790651,325.41379915,379.2958424,0.0975854159,-78.19569876,80.52718814,317.2895205,271.65738285,362.78513054,38.41211899,34.321210029,42.555629683,339.34510171,314.96880171,364.13899302
Forecasts,Kudan,2024Q1,109.99696093,102.79642759,117.23360321,9.403506e-27,-0.523265031,0.5258890776,85.68707515,72.285434907,99.155921362,8.3067929582,4.3816228618,12.210297202,115.78815338,109.73102978,121.87565199
Forecasts,Kudan,2024Q2,124.57619672,114.88379967,133.71563623,6.273123e-27,-0.624323121,0.6239353837,92.562547384,59.813575841,125.70374459,6.050464215,2.8598285589,9.8603982021,131.60453395,121.46157972,141.30379467
Forecasts,Kudan,2024Q3,156.60605753,145.48342817,167.18434541,6.273123e-27,-0.825880455,0.8131618733,102.41091463,58.692701682,146.10441431,4.6648217193,1.5292442266,9.6469375156,149.58139369,136.12860374,162.88357131
Forecasts,Kudan,2024Q4,173.75445478,161.85714555,185.58361914,9.403506e-27,-1.351166671,1.2945096442,89.801146507,36.214739047,141.49604261,6.1581766123,2.2758708973,13.369986096,170.01384882,153.07032472,187.33664788
Forecasts,Lere,2024Q1,64.410844481,56.195968391,72.666916177,0.6221352945,-0.405630181,1.6499007697,47.634711986,29.377519631,65.891904342,-8.66858967,-14.61650384,-2.690848159,72.178512706,55.344049995,89.097396156
Forecasts,Lere,2024Q2,74.16140773,59.878172932,88.452402659,0.6221352945,-0.474510613,1.7187812022,43.802652454,24.945964689,62.659340219,32.188556491,11.033326292,53.399615109,90.124845334,65.716426408,115.50739877
Forecasts,Lere,2024Q3,87.161419861,68.861623181,105.10626045,0.6221352945,-0.539313207,1.783583796,39.112553099,18.471738078,59.753368119,50.386909017,12.457054508,93.587219734,110.99133383,53.423133977,175.4043811
Forecasts,Lere,2024Q4,103.5126029,82.21028017,124.04041088,0.6221352945,-0.600686441,1.8449570298,66.188380564,43.465434125,88.911327003,35.167235997,7.0625553325,68.934136177,116.12089072,14.612189938,234.93040759
Forecasts,Makarfi,2024Q1,,,,,,,,,,,,,,,
Forecasts,Makarfi,2024Q2,,,,,,,,,,,,,,,
Forecasts,Makarfi,2024Q3,,,,,,,,,,,,,,,
Forecasts,Makarfi,2024Q4,,,,,,,,,,,,,,,
Forecasts,Markarfi,2024Q1,,,,,,,,,,,,,,,
Forecasts,Markarfi,2024Q2,,,,,,,,,,,,,,,
Forecasts,Markarfi,2024Q3,,,,,,,,,,,,,,,
Forecasts,Markarfi,2024Q4,,,,,,,,,,,,,,,
Forecasts,Sabon Gari,2024Q1,361.00240459,339.57539191,382.53686853,0.0001232864,-0.001377705,0.0016318046,451.09042374,389.21333227,513.27781378,163.8064404,143.75104178,183.96241197,550.32118482,518.84590649,581.95430402
Forecasts,Sabon Gari,2024Q2,378.4773025,351.470687,400.96769715,0.0000781331,-0.00190791,0.0020521182,493.28674405,423.37130031,552.2403228,219.55222547,195.84080565,242.34584409,702.91615159,608.67153113,797.47276465
Forecasts,Sabon Gari,2024Q3,795.6865009,714.00715903,845.06968773,0.0000738513,-0.002377098,0.0024517134,610.37912729,465.64501092,708.93847571,294.26913612,256.7583606,332.39991024,1254.5852421,888.26664127,1620.3037358
Forecasts,Sabon Gari,2024Q4,771.95633347,616.49788525,908.04196766,0.0000734453,-0.002754038,0.0027381236,562.16608392,313.48994866,814.21132931,394.41333054,328.21312864,467.55031292,1093.6993453,600.32105793,1578.85086
Forecasts,Sanga,2024Q1,178.89193269,162.27442842,195.59276971,0,-1.116462944,1.1220617345,100.51989037,78.120266626,123.03184279,19.060331301,12.523455711,25.629987734,175.61580347,165.0116943,186.27308966
Forecasts,Sanga,2024Q2,148.55770794,123.54323247,171.40979169,0,-1.635141332,1.6203912345,47.69210187,21.342052329,73.838313581,20.032961807,12.370747774,27.409915609,110.39123601,90.273266845,126.83700342
Forecasts,Sanga,2024Q3,216.4885464,186.26346772,243.31476883,0,-2.154226005,2.0991530018,51.350841125,9.9975336992,93.152254149,21.055224718,12.639847257,29.175288679,192.33207259,169.68719493,209.39626424
Forecasts,Sanga,2024Q4,285.63217668,252.96580278,314.956752,0,-2.4234746,2.3006162917,81.058029359,5.3609873995,154.35623839,22.129652729,13.344550738,30.977029547,224.26639432,201.20826121,241.45873928
Forecasts,Soba,2024Q1,242.18182539,148.26896109,336.09468968,0,-1.728243693,1.7369104153,175.94005358,161.11812349,190.83631204,11.884505667,6.7315906937,17.03742064,139.20098912,101.70740163,176.88259784
Forecasts,Soba,2024Q2,266.24019083,138.73250393,393.74787774,0,-2.37570925,2.3576852963,244.53028534,225.42063894,262.87088654,17.914867096,7.9230628535,27.906671338,122.2105867,74.937701123,164.57172926
Forecasts,Soba,2024Q3,282.40275449,63.972750868,500.83275812,0,-2.140123679,2.0629597782,309.11593575,277.66212008,341.43086183,25.836153726,14.525938369,37.146369084,187.07278834,89.06136715,265.66023445
Forecasts,Soba,2024Q4,296.39282402,0,666.95786692,0,-5.281400482,5.0089441258,374.97134557,322.59719763,432.26868727,22.648451587,11.156010683,34.140892492,241.80646497,84.336220998,388.63837123
Forecasts,Zangon Kataf,2024Q1,265.90800564,230.16880336,301.82643133,-0.273848806,-4.485974101,3.9593992736,190.46325196,150.81293238,230.27563698,79.928740087,72.052049387,87.805430786,263.99335367,219.37389097,308.61281637
Forecasts,Zangon Kataf,2024Q2,274.45774393,221.65551519,328.77666682,-10.53420536,-24.7943669,0.3177228461,192.82729572,46.830747657,279.32974385,86.668690853,76.46598843,96.871393276,291.46876148,108.46253077,474.47499219
Forecasts,Zangon Kataf,2024Q3,280.27683175,205.41118608,356.90048986,-0.479371335,-7.326245878,3.0817830418,199.87783548,4.7684744571,409.86800163,93.40864162,77.457222341,109.3600609,286.37574936,0,660.88927482
Forecasts,Zangon Kataf,2024Q4,284.20247642,191.13124474,383.59236503,-2.262005427,-119.7701175,6.9862090355,200.41450604,0,593.38028738,100.14859239,76.068558332,124.22862644,303.50639279,0,833.49355904
Forecasts,Zaria,2024Q1,751.93548599,665.02084812,839.28597966,4.922972342,-2.479913921,12.36298228,688.50258791,355.68400637,1021.3211694,132.08072672,96.525816006,167.63563743,790.29751925,710.0337574,870.56128109
Forecasts,Zaria,2024Q2,783.57890864,594.37499142,974.13068525,32.721121884,4.0482809598,57.15107883,719.64382545,0,1568.1158285,132.55141504,77.681401377,187.4214287,846.87405891,604.16408596,1089.5840319
Forecasts,Zaria,2024Q3,862.73830688,592.13039512,1130.7837182,217.48483294,5.3925403315,764.89800678,806.26118113,0,2067.5104382,133.01999808,72.408307948,193.63168821,860.92073839,527.19331898,1194.6481578
Forecasts,Zaria,2024Q4,852.35063499,540.0509703,1154.5840269,1445.5388396,8.6953671496,10431.555558,719.4683359,0,2252.445784,133.48648526,24.489270913,242.48369962,836.68899214,431.91763696,1241.4603473
