Year,Quarter,LGA,PTB Xpert Positive,PTB Smear Positive,PTB TB Lamp,PTB LF-LAM and other,PTB Clinically Diagnosed (X-ray and others),EPTB Xpert Positive,EPTB Clinically Diagnosed (X-ray and others),Total TB Cases notified,All TB cases who had Xpert test,PTB Truenat Positive,All TB cases who had Truenat test,Date,Year-Quarter
2019,1,Birnin Gwari,9,16,0,0,0,0,0,25,9,0,0,2019-03-31,2019 Q1
2019,2,Birnin Gwari,15,0,0,0,4,0,0,19,19,0,0,2019-06-30,2019 Q2
2019,3,Birnin Gwari,10,4,0,0,0,0,0,14,10,0,0,2019-09-30,2019 Q3
2019,4,Birnin Gwari,7,3,0,0,0,0,0,10,7,0,0,2019-12-31,2019 Q4
2019,1,Chikun,30,29,0,0,11,2,3,75,32,0,0,2019-03-31,2019 Q1
2019,2,Chikun,30,29,0,0,11,2,3,75,32,0,0,2019-06-30,2019 Q2
2019,3,Chikun,23,31,0,0,16,0,3,73,23,0,0,2019-09-30,2019 Q3
2019,4,Chikun,21,39,0,0,13,0,2,75,21,0,0,2019-12-31,2019 Q4
2019,1,Giwa,10,1,0,0,22,0,5,38,10,0,0,2019-03-31,2019 Q1
2019,2,Giwa,9,3,0,0,38,1,0,51,10,0,0,2019-06-30,2019 Q2
2019,3,Giwa,4,1,0,0,36,0,5,46,4,0,0,2019-09-30,2019 Q3
2019,4,Giwa,10,2,0,0,27,0,7,46,10,0,0,2019-12-31,2019 Q4
2019,1,Igabi,35,11,0,0,20,0,4,70,70,0,0,2019-03-31,2019 Q1
2019,2,Igabi,24,8,0,0,7,0,1,40,32,0,0,2019-06-30,2019 Q2
2019,3,Igabi,37,18,0,0,10,0,1,66,38,0,0,2019-09-30,2019 Q3
2019,4,Igabi,53,10,0,0,12,0,1,76,56,0,0,2019-12-31,2019 Q4
2019,1,Ikara,12,0,0,0,1,0,0,13,12,0,0,2019-03-31,2019 Q1
2019,2,Ikara,16,1,0,0,3,0,0,20,16,0,0,2019-06-30,2019 Q2
2019,3,Ikara,16,1,0,0,1,0,0,18,16,0,0,2019-09-30,2019 Q3
2019,4,Ikara,20,0,0,0,0,0,2,22,20,0,0,2019-12-31,2019 Q4
2019,1,Jaba,15,0,0,0,5,0,0,20,15,0,0,2019-03-31,2019 Q1
2019,2,Jaba,10,0,0,0,12,0,0,22,10,0,0,2019-06-30,2019 Q2
2019,3,Jaba,6,1,0,0,5,0,0,12,6,0,0,2019-09-30,2019 Q3
2019,4,Jaba,12,2,0,0,1,0,0,15,12,0,0,2019-12-31,2019 Q4
2019,1,Jema'A,32,9,0,0,10,0,0,51,32,0,0,2019-03-31,2019 Q1
2019,2,Jema'A,22,8,0,0,7,0,1,38,22,0,0,2019-06-30,2019 Q2
2019,3,Jema'A,22,19,0,0,16,0,1,58,22,0,0,2019-09-30,2019 Q3
2019,4,Jema'A,17,22,0,0,4,0,0,43,20,0,0,2019-12-31,2019 Q4
2019,1,Kachia,42,1,0,0,0,0,0,43,42,0,0,2019-03-31,2019 Q1
2019,2,Kachia,42,1,0,0,1,0,0,44,42,0,0,2019-06-30,2019 Q2
2019,3,Kachia,24,58,0,0,0,0,0,82,24,0,0,2019-09-30,2019 Q3
2019,4,Kachia,45,33,0,0,1,0,0,79,45,0,0,2019-12-31,2019 Q4
2019,1,Kaduna North,80,8,0,0,56,0,9,153,80,0,0,2019-03-31,2019 Q1
2019,2,Kaduna North,98,2,0,0,52,2,25,179,100,0,0,2019-06-30,2019 Q2
2019,3,Kaduna North,101,4,0,0,52,2,22,181,143,0,0,2019-09-30,2019 Q3
2019,4,Kaduna North,122,4,0,0,39,0,11,176,166,0,0,2019-12-31,2019 Q4
2019,1,Kaduna South,95,9,0,0,48,0,6,158,95,0,0,2019-03-31,2019 Q1
2019,2,Kaduna South,117,13,0,0,59,0,10,199,117,0,0,2019-06-30,2019 Q2
2019,3,Kaduna South,109,15,0,0,57,0,7,188,110,0,0,2019-09-30,2019 Q3
2019,4,Kaduna South,102,9,0,0,64,0,9,184,102,0,0,2019-12-31,2019 Q4
2019,1,Kagarko,17,0,0,0,1,0,0,18,17,0,0,2019-03-31,2019 Q1
2019,2,Kagarko,23,0,0,0,0,0,0,23,23,0,0,2019-06-30,2019 Q2
2019,3,Kagarko,9,0,0,0,0,0,2,11,9,0,0,2019-09-30,2019 Q3
2019,4,Kagarko,16,0,0,0,0,0,0,16,16,0,0,2019-12-31,2019 Q4
2019,1,Kajuru,8,0,0,0,2,0,0,10,8,0,0,2019-03-31,2019 Q1
2019,2,Kajuru,6,2,0,0,2,0,0,10,6,0,0,2019-06-30,2019 Q2
2019,3,Kajuru,9,11,0,0,0,0,0,20,9,0,0,2019-09-30,2019 Q3
2019,4,Kajuru,10,11,0,0,0,0,0,21,10,0,0,2019-12-31,2019 Q4
2019,1,Kaura,18,6,0,0,7,0,0,31,18,0,0,2019-03-31,2019 Q1
2019,2,Kaura,6,3,0,0,5,0,0,14,6,0,0,2019-06-30,2019 Q2
2019,3,Kaura,5,9,0,0,4,0,0,18,5,0,0,2019-09-30,2019 Q3
2019,4,Kaura,7,9,0,0,5,0,1,22,7,0,0,2019-12-31,2019 Q4
2019,1,Kauru,5,4,0,0,3,0,0,12,5,0,0,2019-03-31,2019 Q1
2019,2,Kauru,5,4,0,0,4,0,0,13,5,0,0,2019-06-30,2019 Q2
2019,3,Kauru,8,14,0,0,0,0,0,22,8,0,0,2019-09-30,2019 Q3
2019,4,Kauru,2,16,0,0,0,0,1,19,2,0,0,2019-12-31,2019 Q4
2019,1,Kubau,13,0,0,0,2,0,0,15,13,0,0,2019-03-31,2019 Q1
2019,2,Kubau,18,0,0,0,1,0,0,19,19,0,0,2019-06-30,2019 Q2
2019,3,Kubau,15,1,0,0,1,0,0,17,15,0,0,2019-09-30,2019 Q3
2019,4,Kubau,20,0,0,0,0,0,0,20,20,0,0,2019-12-31,2019 Q4
2019,1,Kudan,6,1,0,0,6,0,0,13,6,0,0,2019-03-31,2019 Q1
2019,2,Kudan,6,2,0,0,3,0,0,11,123,0,0,2019-06-30,2019 Q2
2019,3,Kudan,5,2,0,0,5,0,0,12,5,0,0,2019-09-30,2019 Q3
2019,4,Kudan,5,12,0,0,6,0,0,23,5,0,0,2019-12-31,2019 Q4
2019,1,Lere,26,2,0,0,1,0,1,30,26,0,0,2019-03-31,2019 Q1
2019,2,Lere,16,4,0,0,4,0,1,25,19,0,0,2019-06-30,2019 Q2
2019,3,Lere,20,1,0,0,2,0,1,24,20,0,0,2019-09-30,2019 Q3
2019,4,Lere,22,1,0,0,3,0,1,27,23,0,0,2019-12-31,2019 Q4
2019,1,Makarfi,10,4,0,0,9,0,1,24,15,0,0,2019-03-31,2019 Q1
2019,2,Makarfi,13,8,0,0,8,0,1,30,13,0,0,2019-06-30,2019 Q2
2019,3,Makarfi,13,2,0,0,19,0,0,34,13,0,0,2019-09-30,2019 Q3
2019,4,Makarfi,21,5,0,0,17,0,0,43,43,0,0,2019-12-31,2019 Q4
2019,1,Sabon Gari,26,3,0,0,5,0,0,34,26,0,0,2019-03-31,2019 Q1
2019,2,Sabon Gari,36,2,0,0,7,0,2,47,36,0,0,2019-06-30,2019 Q2
2019,3,Sabon Gari,49,2,0,0,9,0,1,61,49,0,0,2019-09-30,2019 Q3
2019,4,Sabon Gari,56,4,0,0,31,0,0,91,91,0,0,2019-12-31,2019 Q4
2019,1,Sanga,14,11,0,0,5,0,0,30,26,0,0,2019-03-31,2019 Q1
2019,2,Sanga,6,18,0,0,2,0,0,26,6,0,0,2019-06-30,2019 Q2
2019,3,Sanga,8,24,0,0,8,0,0,40,8,0,0,2019-09-30,2019 Q3
2019,4,Sanga,16,7,0,0,6,0,0,29,17,0,0,2019-12-31,2019 Q4
2019,1,Soba,11,0,0,0,1,0,0,12,11,0,0,2019-03-31,2019 Q1
2019,2,Soba,5,1,0,0,3,0,0,9,5,0,0,2019-06-30,2019 Q2
2019,3,Soba,7,7,0,0,3,0,0,17,9,0,0,2019-09-30,2019 Q3
2019,4,Soba,5,8,0,0,4,0,0,17,7,0,0,2019-12-31,2019 Q4
2019,1,Zangon Kataf,13,6,0,0,3,1,0,23,14,0,0,2019-03-31,2019 Q1
2019,2,Zangon Kataf,7,7,0,0,20,0,0,34,8,0,0,2019-06-30,2019 Q2
2019,3,Zangon Kataf,8,6,0,0,8,0,5,27,8,0,0,2019-09-30,2019 Q3
2019,4,Zangon Kataf,13,3,0,0,9,0,0,25,13,0,0,2019-12-31,2019 Q4
2019,1,Zaria,56,3,0,0,15,1,18,93,57,0,0,2019-03-31,2019 Q1
2019,2,Zaria,76,2,0,0,13,0,10,101,76,0,0,2019-06-30,2019 Q2
2019,3,Zaria,85,2,0,0,14,0,17,118,85,0,0,2019-09-30,2019 Q3
2019,4,Zaria,91,2,0,0,10,0,23,126,92,0,0,2019-12-31,2019 Q4
2020,1,Birnin Gwari,13,0,0,0,0,0,0,13,13,0,0,2020-03-31,2020 Q1
2020,2,Birnin Gwari,11,3,0,0,0,0,0,14,11,0,0,2020-06-30,2020 Q2
2020,3,Birnin Gwari,10,9,0,0,4,0,0,23,10,0,0,2020-09-30,2020 Q3
2020,4,Birnin Gwari,43,2,0,0,1,0,0,46,43,0,0,2020-12-31,2020 Q4
2020,1,Chikun,32,25,0,0,24,0,0,81,32,0,0,2020-03-31,2020 Q1
2020,2,Chikun,22,24,0,0,15,0,1,62,22,0,0,2020-06-30,2020 Q2
2020,3,Chikun,33,21,0,0,13,0,1,68,34,0,0,2020-09-30,2020 Q3
2020,4,Chikun,38,16,0,0,12,0,0,66,38,0,0,2020-12-31,2020 Q4
2020,1,Giwa,15,6,0,0,39,0,6,66,15,0,0,2020-03-31,2020 Q1
2020,2,Giwa,4,0,0,0,23,0,6,33,4,0,0,2020-06-30,2020 Q2
2020,3,Giwa,19,0,0,0,20,0,14,53,21,0,0,2020-09-30,2020 Q3
2020,4,Giwa,21,8,0,0,15,1,13,58,22,0,0,2020-12-31,2020 Q4
2020,1,Igabi,56,2,0,0,2,0,0,60,56,0,0,2020-03-31,2020 Q1
2020,2,Igabi,36,3,0,0,2,0,2,43,36,0,0,2020-06-30,2020 Q2
2020,3,Igabi,60,2,0,0,8,0,0,70,60,0,0,2020-09-30,2020 Q3
2020,4,Igabi,74,17,0,0,8,0,0,99,74,0,0,2020-12-31,2020 Q4
2020,1,Ikara,15,0,0,0,1,0,1,17,17,0,0,2020-03-31,2020 Q1
2020,2,Ikara,18,0,0,0,1,0,0,19,18,0,0,2020-06-30,2020 Q2
2020,3,Ikara,9,1,0,0,4,0,0,14,14,0,0,2020-09-30,2020 Q3
2020,4,Ikara,19,9,0,0,3,0,0,31,19,0,0,2020-12-31,2020 Q4
2020,1,Jaba,6,0,0,0,9,0,0,15,15,0,0,2020-03-31,2020 Q1
2020,2,Jaba,6,0,0,0,7,0,0,13,6,0,0,2020-06-30,2020 Q2
2020,3,Jaba,2,1,0,0,7,0,0,10,2,0,0,2020-09-30,2020 Q3
2020,4,Jaba,7,0,0,0,6,0,0,13,13,0,0,2020-12-31,2020 Q4
2020,1,Jema'A,20,20,0,0,5,0,1,46,20,0,0,2020-03-31,2020 Q1
2020,2,Jema'A,25,8,0,0,4,1,1,39,26,0,0,2020-06-30,2020 Q2
2020,3,Jema'A,29,12,0,0,7,0,0,48,29,0,0,2020-09-30,2020 Q3
2020,4,Jema'A,33,12,0,0,12,0,0,57,33,0,0,2020-12-31,2020 Q4
2020,1,Kachia,65,81,0,0,0,0,2,148,139,0,0,2020-03-31,2020 Q1
2020,2,Kachia,63,61,0,0,3,0,0,127,63,0,0,2020-06-30,2020 Q2
2020,3,Kachia,83,50,0,0,7,0,1,141,83,0,0,2020-09-30,2020 Q3
2020,4,Kachia,117,39,0,0,11,0,0,167,117,0,0,2020-12-31,2020 Q4
2020,1,Kaduna North,121,1,0,0,43,2,11,178,166,0,0,2020-03-31,2020 Q1
2020,2,Kaduna North,159,1,0,0,24,0,6,190,159,0,0,2020-06-30,2020 Q2
2020,3,Kaduna North,217,3,0,0,31,0,5,256,243,0,0,2020-09-30,2020 Q3
2020,4,Kaduna North,257,11,0,0,53,0,14,335,309,0,0,2020-12-31,2020 Q4
2020,1,Kaduna South,131,10,0,0,83,0,9,233,131,0,0,2020-03-31,2020 Q1
2020,2,Kaduna South,83,7,0,0,102,0,16,208,83,0,0,2020-06-30,2020 Q2
2020,3,Kaduna South,115,22,0,0,74,0,8,219,115,0,0,2020-09-30,2020 Q3
2020,4,Kaduna South,168,5,0,0,62,0,4,239,168,0,0,2020-12-31,2020 Q4
2020,1,Kagarko,11,0,0,0,2,0,0,13,13,0,0,2020-03-31,2020 Q1
2020,2,Kagarko,14,0,0,0,0,0,3,17,14,0,0,2020-06-30,2020 Q2
2020,3,Kagarko,12,0,0,0,0,0,1,13,12,0,0,2020-09-30,2020 Q3
2020,4,Kagarko,26,0,0,0,0,0,0,26,26,0,0,2020-12-31,2020 Q4
2020,1,Kajuru,10,8,0,0,0,0,0,18,10,0,0,2020-03-31,2020 Q1
2020,2,Kajuru,6,13,0,0,2,0,0,21,6,0,0,2020-06-30,2020 Q2
2020,3,Kajuru,14,9,0,0,0,0,0,23,14,0,0,2020-09-30,2020 Q3
2020,4,Kajuru,20,3,0,0,6,0,0,29,20,0,0,2020-12-31,2020 Q4
2020,1,Kaura,5,11,0,0,3,0,0,19,5,0,0,2020-03-31,2020 Q1
2020,2,Kaura,6,12,0,0,2,0,0,20,6,0,0,2020-06-30,2020 Q2
2020,3,Kaura,8,7,0,0,3,0,0,18,8,0,0,2020-09-30,2020 Q3
2020,4,Kaura,4,11,0,0,5,0,0,20,4,0,0,2020-12-31,2020 Q4
2020,1,Kauru,0,20,0,0,0,0,0,20,0,0,0,2020-03-31,2020 Q1
2020,2,Kauru,3,19,0,0,0,0,0,22,3,0,0,2020-06-30,2020 Q2
2020,3,Kauru,1,29,0,0,2,0,0,32,3,0,0,2020-09-30,2020 Q3
2020,4,Kauru,4,74,0,0,0,0,0,78,4,0,0,2020-12-31,2020 Q4
2020,1,Kubau,14,0,0,0,2,0,1,17,14,0,0,2020-03-31,2020 Q1
2020,2,Kubau,18,0,0,0,3,0,0,21,18,0,0,2020-06-30,2020 Q2
2020,3,Kubau,29,0,0,0,0,0,0,29,29,0,0,2020-09-30,2020 Q3
2020,4,Kubau,33,0,0,0,0,0,0,33,33,0,0,2020-12-31,2020 Q4
2020,1,Kudan,6,7,0,0,5,0,1,19,6,0,0,2020-03-31,2020 Q1
2020,2,Kudan,5,2,0,0,3,0,0,10,5,0,0,2020-06-30,2020 Q2
2020,3,Kudan,14,7,0,0,1,0,0,22,14,0,0,2020-09-30,2020 Q3
2020,4,Kudan,24,1,0,0,4,0,0,29,29,0,0,2020-12-31,2020 Q4
2020,1,Lere,29,1,0,0,2,0,0,32,29,0,0,2020-03-31,2020 Q1
2020,2,Lere,20,5,0,0,3,0,0,28,25,0,0,2020-06-30,2020 Q2
2020,3,Lere,18,1,0,0,11,0,0,30,21,0,0,2020-09-30,2020 Q3
2020,4,Lere,38,0,0,0,9,0,1,48,48,0,0,2020-12-31,2020 Q4
2020,1,Makarfi,13,8,0,0,13,0,0,34,13,0,0,2020-03-31,2020 Q1
2020,2,Makarfi,20,4,0,0,10,0,1,35,20,0,0,2020-06-30,2020 Q2
2020,3,Makarfi,13,4,0,0,18,0,0,35,13,0,0,2020-09-30,2020 Q3
2020,4,Makarfi,26,11,0,0,23,0,0,60,26,0,0,2020-12-31,2020 Q4
2020,1,Sabon Gari,35,1,0,0,9,0,0,45,35,0,0,2020-03-31,2020 Q1
2020,2,Sabon Gari,38,9,0,0,23,0,0,70,38,0,0,2020-06-30,2020 Q2
2020,3,Sabon Gari,40,34,0,0,5,0,0,79,40,0,0,2020-09-30,2020 Q3
2020,4,Sabon Gari,58,12,0,0,17,0,0,87,58,0,0,2020-12-31,2020 Q4
2020,1,Sanga,8,14,0,0,9,0,0,31,8,0,0,2020-03-31,2020 Q1
2020,2,Sanga,4,13,0,0,3,0,1,21,4,0,0,2020-06-30,2020 Q2
2020,3,Sanga,8,22,0,0,2,0,1,33,8,0,0,2020-09-30,2020 Q3
2020,4,Sanga,5,11,0,0,4,0,1,21,5,0,0,2020-12-31,2020 Q4
2020,1,Soba,13,2,0,0,2,0,0,17,13,0,0,2020-03-31,2020 Q1
2020,2,Soba,18,1,0,0,0,0,2,21,18,0,0,2020-06-30,2020 Q2
2020,3,Soba,28,7,0,0,3,0,0,38,28,0,0,2020-09-30,2020 Q3
2020,4,Soba,29,16,0,0,6,0,0,51,29,0,0,2020-12-31,2020 Q4
2020,1,Zangon Kataf,17,4,0,0,13,0,0,34,17,0,0,2020-03-31,2020 Q1
2020,2,Zangon Kataf,8,7,0,0,0,0,16,31,8,0,0,2020-06-30,2020 Q2
2020,3,Zangon Kataf,16,13,0,0,12,0,0,41,16,0,0,2020-09-30,2020 Q3
2020,4,Zangon Kataf,38,5,0,0,7,0,0,50,39,0,0,2020-12-31,2020 Q4
2020,1,Zaria,105,1,0,3,10,0,14,133,105,0,0,2020-03-31,2020 Q1
2020,2,Zaria,130,0,0,0,18,1,9,158,160,0,0,2020-06-30,2020 Q2
2020,3,Zaria,183,0,0,0,7,1,7,198,198,0,0,2020-09-30,2020 Q3
2020,4,Zaria,202,0,0,0,17,0,11,230,202,0,0,2020-12-31,2020 Q4
2021,1,Birin Gwari,20,0,0,0,9,0,0,29,20,0,0,2021-03-31,2021 Q1
2021,2,Birin Gwari,48,0,0,0,27,0,0,75,48,0,0,2021-06-30,2021 Q2
2021,3,Birin Gwari,49,0,0,0,1,0,0,50,49,0,0,2021-09-30,2021 Q3
2021,4,Birin Gwari,84,0,0,0,21,0,0,105,84,0,0,2021-12-31,2021 Q4
2021,1,Chikun,41,29,0,0,21,0,4,95,41,0,0,2021-03-31,2021 Q1
2021,2,Chikun,88,29,0,0,6,0,0,123,88,0,0,2021-06-30,2021 Q2
2021,3,Chikun,109,32,0,0,5,1,0,147,114,0,0,2021-09-30,2021 Q3
2021,4,Chikun,278,35,0,0,24,0,2,339,279,0,0,2021-12-31,2021 Q4
2021,1,Giwa,20,14,0,0,25,0,12,71,20,0,0,2021-03-31,2021 Q1
2021,2,Giwa,32,70,0,0,25,0,9,136,32,0,0,2021-06-30,2021 Q2
2021,3,Giwa,165,48,0,0,9,0,11,233,166,0,0,2021-09-30,2021 Q3
2021,4,Giwa,466,18,0,0,14,1,13,512,468,0,0,2021-12-31,2021 Q4
2021,1,Igabi,84,5,0,0,11,0,0,100,84,0,0,2021-03-31,2021 Q1
2021,2,Igabi,68,7,0,0,14,0,0,89,70,0,0,2021-06-30,2021 Q2
2021,3,Igabi,83,0,0,0,26,0,0,109,86,0,0,2021-09-30,2021 Q3
2021,4,Igabi,162,0,0,0,29,0,0,191,162,0,0,2021-12-31,2021 Q4
2021,1,Ikara,14,0,0,0,5,0,0,19,14,0,0,2021-03-31,2021 Q1
2021,2,Ikara,19,2,0,0,5,0,0,26,21,0,0,2021-06-30,2021 Q2
2021,3,Ikara,22,1,0,0,6,0,0,29,22,0,0,2021-09-30,2021 Q3
2021,4,Ikara,19,3,0,0,14,0,0,36,19,0,0,2021-12-31,2021 Q4
2021,1,Jaba,2,3,0,0,18,0,0,23,2,0,0,2021-03-31,2021 Q1
2021,2,Jaba,9,0,0,0,15,0,0,24,9,0,0,2021-06-30,2021 Q2
2021,3,Jaba,17,2,0,0,6,0,0,25,17,0,0,2021-09-30,2021 Q3
2021,4,Jaba,10,4,0,0,4,0,0,18,10,0,0,2021-12-31,2021 Q4
2021,1,Jemaa,17,25,0,0,19,0,0,61,17,0,0,2021-03-31,2021 Q1
2021,2,Jemaa,21,45,0,0,24,0,0,90,24,0,0,2021-06-30,2021 Q2
2021,3,Jemaa,52,37,0,0,29,0,1,119,52,0,0,2021-09-30,2021 Q3
2021,4,Jemaa,71,41,0,0,20,0,0,132,76,0,0,2021-12-31,2021 Q4
2021,1,Kachia,128,40,0,0,8,0,0,176,128,0,0,2021-03-31,2021 Q1
2021,2,Kachia,185,57,0,0,17,0,0,259,186,0,0,2021-06-30,2021 Q2
2021,3,Kachia,166,46,0,0,1,0,0,213,166,0,0,2021-09-30,2021 Q3
2021,4,Kachia,277,0,0,0,7,0,0,284,277,0,0,2021-12-31,2021 Q4
2021,1,Kaduna North,287,32,0,0,37,0,3,359,388,0,0,2021-03-31,2021 Q1
2021,2,Kaduna North,339,5,0,0,26,0,3,373,339,0,0,2021-06-30,2021 Q2
2021,3,Kaduna North,275,1,4,0,122,0,2,404,275,0,0,2021-09-30,2021 Q3
2021,4,Kaduna North,351,26,2,0,108,0,1,488,483,0,0,2021-12-31,2021 Q4
2021,1,Kaduna South,176,5,0,0,97,0,14,292,176,0,0,2021-03-31,2021 Q1
2021,2,Kaduna South,145,0,0,0,94,0,10,249,156,0,0,2021-06-30,2021 Q2
2021,3,Kaduna South,131,0,17,0,102,0,3,253,131,0,0,2021-09-30,2021 Q3
2021,4,Kaduna South,165,10,1,0,102,0,7,285,165,0,0,2021-12-31,2021 Q4
2021,1,Kagarko,20,0,0,0,0,0,0,20,20,0,0,2021-03-31,2021 Q1
2021,2,Kagarko,18,0,0,0,0,0,0,18,18,0,0,2021-06-30,2021 Q2
2021,3,Kagarko,32,0,0,0,0,0,0,32,32,0,0,2021-09-30,2021 Q3
2021,4,Kagarko,20,0,0,0,0,0,0,20,20,0,0,2021-12-31,2021 Q4
2021,1,Kajuru,29,0,0,0,5,0,0,34,29,0,0,2021-03-31,2021 Q1
2021,2,Kajuru,76,8,0,0,6,0,0,90,76,0,0,2021-06-30,2021 Q2
2021,3,Kajuru,93,9,0,0,3,0,0,105,93,0,0,2021-09-30,2021 Q3
